 ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6625    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      734    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
     6625    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
     1268    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      634    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
    634/6    0.001    0.000    0.831    0.138 <frozen importlib._bootstrap_external>:777(exec_module)
     3043    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      634    0.005    0.000    0.121    0.000 <frozen importlib._bootstrap_external>:849(get_code)
     1068    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      634    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:949(__hash__)
      634    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
      634    0.003    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:969(get_data)
      985    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       27    0.000    0.000    0.000    0.000 <frozen zipimport>:109(find_loader)
       54    0.000    0.000    0.000    0.000 <frozen zipimport>:308(_get_module_path)
       27    0.000    0.000    0.000    0.000 <frozen zipimport>:312(_is_dir)
       27    0.000    0.000    0.000    0.000 <frozen zipimport>:321(_get_module_info)
       82    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        1    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 <string>:4(cy_wrap)
        1    0.000    0.000    0.000    0.000 ElementPath.py:334(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1140(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1254(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1366(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1488(XMLParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1751(C14NWriterTarget)
        1    0.000    0.000    0.001    0.001 ElementTree.py:36(_get_py3_cls)
        1    0.000    0.000    0.000    0.000 ElementTree.py:492(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:540(ElementTree)
        1    0.000    0.000    0.003    0.003 ElementTree.py:6(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:79(DefusedXMLParser)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:104(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:66(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:17(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:22(GimpPaletteFile)
        1    0.000    0.000    0.000    0.000 Image.py:100(DecompressionBombError)
